,ticker,Date,Posible_compra
33941,SNPS,2005-06-14,No
33942,SNPS,2005-09-14,Sí
33943,SNPS,2005-12-15,Sí
33944,SNPS,2006-03-17,No
33945,SNPS,2006-06-14,No
33946,SNPS,2006-09-14,Sí
33947,SNPS,2006-12-15,No
33948,SNPS,2007-03-17,No
33949,SNPS,2007-06-14,No
33950,SNPS,2007-09-14,Sí
33951,SNPS,2007-12-15,No
33952,SNPS,2008-03-16,Sí
33953,SNPS,2008-06-14,Sí
33954,SNPS,2008-09-14,Sí
33955,SNPS,2008-12-15,Sí
33956,SNPS,2009-03-17,Sí
33957,SNPS,2009-06-14,Sí
33958,SNPS,2009-09-14,Sí
33959,SNPS,2009-12-15,Sí
33960,SNPS,2010-03-17,Sí
33961,SNPS,2010-06-14,Sí
33962,SNPS,2010-09-14,Sí
33963,SNPS,2010-12-15,No
33964,SNPS,2011-03-17,No
33965,SNPS,2011-06-14,No
33966,SNPS,2011-09-14,No
33967,SNPS,2011-12-15,No
33968,SNPS,2012-03-16,No
33969,SNPS,2012-06-14,No
33970,SNPS,2012-09-14,No
33971,SNPS,2012-12-15,No
33972,SNPS,2013-03-17,No
33973,SNPS,2013-06-14,No
33974,SNPS,2013-09-14,No
33975,SNPS,2013-12-15,No
33976,SNPS,2014-03-17,No
33977,SNPS,2014-06-14,Sí
33978,SNPS,2014-09-14,Sí
33979,SNPS,2014-12-15,No
33980,SNPS,2015-03-17,No
33981,SNPS,2015-06-14,No
33982,SNPS,2015-09-14,No
33983,SNPS,2015-12-15,No
33984,SNPS,2016-03-16,No
33985,SNPS,2016-06-14,No
33986,SNPS,2016-09-14,No
33987,SNPS,2016-12-15,No
33988,SNPS,2017-03-17,No
33989,SNPS,2017-06-14,No
33990,SNPS,2017-09-14,No
33991,SNPS,2017-12-15,No
33992,SNPS,2018-03-17,No
33993,SNPS,2018-06-14,No
33994,SNPS,2018-09-14,No
33995,SNPS,2018-12-15,No
33996,SNPS,2019-03-17,Sí
33997,SNPS,2019-06-14,No
33998,SNPS,2019-09-14,No
33999,SNPS,2019-12-15,No
34000,SNPS,2020-03-16,No
34001,SNPS,2020-06-14,No
34002,SNPS,2020-09-14,No
34003,SNPS,2020-12-15,No
34004,SNPS,2021-03-17,No
34005,SNPS,2021-06-14,No
34006,SNPS,2021-09-14,No
34007,SNPS,2021-12-15,No
34008,SNPS,2022-03-17,No
34009,SNPS,2022-06-14,No
34010,SNPS,2022-09-14,No
34011,SNPS,2022-12-15,No
34012,SO,2000-05-15,No
34013,SO,2000-08-14,No
34014,SO,2000-11-14,No
34015,SO,2001-02-14,No
34016,SO,2001-05-15,No
34017,SO,2001-08-14,No
34018,SO,2001-11-14,No
34019,SO,2002-02-14,No
34020,SO,2002-05-15,No
34021,SO,2002-08-14,No
34022,SO,2002-11-14,No
34023,SO,2003-02-14,No
34024,SO,2003-05-15,No
34025,SO,2003-08-14,No
34026,SO,2003-11-14,Sí
34027,SO,2004-02-14,Sí
34028,SO,2004-05-15,Sí
34029,SO,2004-08-14,Sí
34030,SO,2004-11-14,Sí
34031,SO,2005-02-14,No
34032,SO,2005-05-15,Sí
34033,SO,2005-08-14,No
34034,SO,2005-11-14,No
34035,SO,2006-02-14,No
34036,SO,2006-05-15,No
34037,SO,2006-08-14,No
34038,SO,2006-11-14,No
34039,SO,2007-02-14,No
34040,SO,2007-05-15,No
34041,SO,2007-08-14,Sí
34042,SO,2007-11-14,Sí
34043,SO,2008-02-14,No
34044,SO,2008-05-15,Sí
34045,SO,2008-08-14,Sí
34046,SO,2008-11-14,Sí
34047,SO,2009-02-14,Sí
